url,type,source_page
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/css/import/contents/004/set.css,css,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/list00000000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/css/import/contents/004/dez_pt.css,css,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/list00000000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/css/import/contents/004/unit.css,css,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/list00000000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00200000.html,page,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/list00000000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000020/block/00000062/00000118.gif,gif,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00200000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000020/block/00000063/00000119.gif,gif,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00200000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000020/block/00000063/00000120.gif,gif,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00200000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000020/block/00000063/00000121.gif,gif,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00200000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000020/block/00000063/00000122.gif,gif,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00200000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000020/block/00000063/00000123.gif,gif,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00200000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000020/block/00000063/00000124.gif,gif,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00200000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00090000.html,page,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00200000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000009/block/00000029/00000041.gif,gif,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00090000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000009/block/00000030/00000042.gif,gif,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00090000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000009/block/00000030/00000043.gif,gif,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00090000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000009/block/00000030/00000044.gif,gif,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00090000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000009/block/00000030/00000045.gif,gif,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00090000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000009/block/00000030/00000046.gif,gif,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00090000.html
